Generation,Fitness Total,Mean,Best
0,49.48,49.48,68.52
1,54.46,54.46,66.67
2,59.61,59.61,72.22
3,63.06,63.06,75.93
4,67.11,67.11,77.78
5,69.22,69.22,79.63
6,70.74,70.74,81.48
7,72.39,72.39,79.63
8,73.83,73.83,81.48
9,75.39,75.39,81.48
10,77.00,77.00,85.19
11,78.44,78.44,88.89
12,79.44,79.44,88.89
13,80.13,80.13,88.89
14,80.70,80.70,90.74
15,81.72,81.72,88.89
16,83.00,83.00,90.74
17,83.83,83.83,90.74
18,84.00,84.00,90.74
19,84.46,84.46,90.74
20,84.61,84.61,92.59
21,84.56,84.56,92.59
22,84.41,84.41,94.44
23,85.02,85.02,90.74
24,84.85,84.85,92.59
25,85.69,85.69,92.59
26,86.04,86.04,90.74
27,85.76,85.76,96.30
28,87.06,87.06,96.30
29,88.43,88.43,96.30
30,88.06,88.06,96.30
31,88.72,88.72,96.30
32,88.54,88.54,96.30
33,88.37,88.37,98.15
34,88.46,88.46,96.30
35,87.81,87.81,98.15
36,86.98,86.98,94.44
37,86.85,86.85,92.59
38,87.31,87.31,94.44
39,87.30,87.30,96.30
40,87.57,87.57,96.30
41,88.13,88.13,96.30
42,88.81,88.81,96.30
43,89.26,89.26,96.30
44,88.61,88.61,96.30
45,88.33,88.33,96.30
46,88.80,88.80,96.30
47,89.13,89.13,96.30
48,89.28,89.28,96.30
49,89.61,89.61,96.30
50,89.35,89.35,96.30
51,89.72,89.72,96.30
52,89.19,89.19,96.30
53,89.26,89.26,96.30
54,88.76,88.76,96.30
55,89.06,89.06,94.44
56,88.67,88.67,94.44
57,88.19,88.19,92.59
58,87.43,87.43,94.44
59,87.56,87.56,94.44
60,87.93,87.93,96.30
61,88.35,88.35,96.30
62,88.52,88.52,96.30
63,87.59,87.59,94.44
64,86.98,86.98,94.44
65,87.70,87.70,96.30
66,87.50,87.50,94.44
67,87.20,87.20,94.44
68,87.09,87.09,92.59
69,86.89,86.89,94.44
70,86.46,86.46,94.44
71,87.07,87.07,96.30
72,86.74,86.74,96.30
73,87.26,87.26,94.44
74,87.33,87.33,96.30
75,87.91,87.91,96.30
76,88.20,88.20,96.30
77,87.39,87.39,96.30
78,86.80,86.80,96.30
79,87.02,87.02,96.30
80,87.04,87.04,94.44
81,86.94,86.94,98.15
82,87.78,87.78,94.44
83,87.46,87.46,94.44
84,87.69,87.69,94.44
85,87.74,87.74,94.44
86,88.04,88.04,94.44
87,87.87,87.87,96.30
88,87.72,87.72,94.44
89,87.59,87.59,96.30
90,86.94,86.94,94.44
91,87.24,87.24,94.44
92,87.91,87.91,94.44
93,87.96,87.96,96.30
94,88.33,88.33,96.30
95,89.06,89.06,98.15
96,88.80,88.80,96.30
97,88.00,88.00,96.30
98,88.02,88.02,96.30
99,88.43,88.43,94.44
