Generation,Fitness Total,Mean,Best
0,48.39,48.39,64.81
1,53.20,53.20,66.67
2,58.02,58.02,68.52
3,61.28,61.28,70.37
4,64.15,64.15,74.07
5,67.11,67.11,81.48
6,69.33,69.33,81.48
7,71.37,71.37,83.33
8,73.43,73.43,83.33
9,75.89,75.89,88.89
10,78.59,78.59,88.89
11,79.61,79.61,87.04
12,80.28,80.28,88.89
13,81.07,81.07,88.89
14,81.67,81.67,88.89
15,82.46,82.46,90.74
16,83.33,83.33,90.74
17,84.44,84.44,92.59
18,84.85,84.85,92.59
19,84.52,84.52,94.44
20,85.04,85.04,92.59
21,85.69,85.69,92.59
22,85.83,85.83,92.59
23,85.33,85.33,92.59
24,85.06,85.06,92.59
25,84.89,84.89,94.44
26,85.37,85.37,92.59
27,85.89,85.89,94.44
28,86.24,86.24,92.59
29,86.65,86.65,94.44
30,86.39,86.39,94.44
31,86.80,86.80,98.15
32,86.87,86.87,96.30
33,87.89,87.89,96.30
34,88.54,88.54,96.30
35,88.50,88.50,94.44
36,88.02,88.02,94.44
37,88.54,88.54,94.44
38,88.78,88.78,96.30
39,88.28,88.28,96.30
40,88.89,88.89,96.30
41,88.78,88.78,96.30
42,88.30,88.30,96.30
43,88.56,88.56,96.30
44,88.15,88.15,96.30
45,88.54,88.54,94.44
46,88.69,88.69,94.44
47,89.00,89.00,94.44
48,88.28,88.28,94.44
49,88.04,88.04,94.44
50,88.15,88.15,94.44
51,87.80,87.80,94.44
52,87.93,87.93,94.44
53,88.31,88.31,96.30
54,87.74,87.74,96.30
55,87.30,87.30,94.44
56,87.67,87.67,94.44
57,87.81,87.81,94.44
58,87.30,87.30,94.44
59,87.57,87.57,94.44
60,86.96,86.96,94.44
61,87.48,87.48,94.44
62,86.96,86.96,92.59
63,86.96,86.96,94.44
64,87.72,87.72,94.44
65,86.81,86.81,92.59
66,86.72,86.72,94.44
67,86.85,86.85,96.30
68,86.83,86.83,96.30
69,87.50,87.50,94.44
70,87.39,87.39,96.30
71,87.37,87.37,94.44
72,87.80,87.80,94.44
73,87.69,87.69,94.44
74,87.70,87.70,94.44
75,87.83,87.83,94.44
76,87.46,87.46,94.44
77,88.67,88.67,94.44
78,87.80,87.80,94.44
79,87.70,87.70,98.15
80,88.67,88.67,98.15
81,88.41,88.41,94.44
82,87.30,87.30,94.44
83,87.56,87.56,98.15
84,86.83,86.83,94.44
85,86.94,86.94,92.59
86,86.85,86.85,94.44
87,87.65,87.65,96.30
88,87.39,87.39,94.44
89,86.94,86.94,96.30
90,86.83,86.83,96.30
91,86.87,86.87,96.30
92,87.70,87.70,94.44
93,87.52,87.52,94.44
94,87.09,87.09,94.44
95,88.43,88.43,96.30
96,87.93,87.93,96.30
97,87.44,87.44,94.44
98,87.26,87.26,94.44
99,86.94,86.94,98.15
