Generation,Fitness Total,Mean,Best
0,48.43,48.43,62.96
1,55.20,55.20,68.52
2,59.04,59.04,70.37
3,62.54,62.54,72.22
4,65.46,65.46,74.07
5,67.80,67.80,75.93
6,69.43,69.43,75.93
7,71.44,71.44,77.78
8,72.19,72.19,81.48
9,74.09,74.09,83.33
10,75.57,75.57,85.19
11,77.24,77.24,88.89
12,78.74,78.74,87.04
13,80.02,80.02,87.04
14,80.59,80.59,90.74
15,80.85,80.85,87.04
16,81.72,81.72,90.74
17,83.00,83.00,90.74
18,83.93,83.93,92.59
19,84.07,84.07,92.59
20,84.33,84.33,90.74
21,84.59,84.59,92.59
22,85.19,85.19,92.59
23,84.83,84.83,92.59
24,85.33,85.33,92.59
25,85.56,85.56,92.59
26,86.07,86.07,92.59
27,87.65,87.65,94.44
28,87.57,87.57,94.44
29,87.19,87.19,94.44
30,86.65,86.65,94.44
31,87.65,87.65,94.44
32,87.52,87.52,96.30
33,87.24,87.24,92.59
34,87.22,87.22,92.59
35,86.54,86.54,94.44
36,86.28,86.28,92.59
37,86.44,86.44,92.59
38,86.76,86.76,92.59
39,87.17,87.17,94.44
40,87.33,87.33,94.44
41,87.48,87.48,94.44
42,87.13,87.13,94.44
43,86.89,86.89,94.44
44,87.44,87.44,96.30
45,87.11,87.11,94.44
46,86.70,86.70,94.44
47,87.48,87.48,96.30
48,88.22,88.22,96.30
49,88.11,88.11,98.15
50,88.83,88.83,96.30
51,90.85,90.85,96.30
52,90.93,90.93,96.30
53,89.67,89.67,96.30
54,88.91,88.91,94.44
55,88.87,88.87,96.30
56,88.67,88.67,98.15
57,89.06,89.06,96.30
58,89.33,89.33,96.30
59,89.67,89.67,96.30
60,89.67,89.67,96.30
61,89.09,89.09,96.30
62,87.72,87.72,94.44
63,87.85,87.85,94.44
64,87.93,87.93,94.44
65,87.63,87.63,94.44
66,88.06,88.06,96.30
67,88.26,88.26,94.44
68,89.11,89.11,96.30
69,88.83,88.83,94.44
70,87.87,87.87,94.44
71,87.39,87.39,92.59
72,86.70,86.70,94.44
73,86.52,86.52,94.44
74,86.15,86.15,94.44
75,85.91,85.91,90.74
76,86.17,86.17,92.59
77,86.02,86.02,94.44
78,86.63,86.63,92.59
79,86.59,86.59,94.44
80,86.20,86.20,94.44
81,86.76,86.76,94.44
82,86.78,86.78,94.44
83,86.87,86.87,92.59
84,86.91,86.91,94.44
85,86.56,86.56,92.59
86,86.85,86.85,94.44
87,86.15,86.15,92.59
88,86.50,86.50,94.44
89,86.28,86.28,94.44
90,85.91,85.91,92.59
91,86.07,86.07,94.44
92,86.50,86.50,92.59
93,86.57,86.57,92.59
94,86.24,86.24,94.44
95,85.70,85.70,94.44
96,86.44,86.44,94.44
97,85.72,85.72,94.44
98,85.50,85.50,94.44
99,86.56,86.56,94.44
