NumRuns,AverageBestFitness(%%),AverageTestingSetClassificationRate(%%),NumGenerations,PopulationSize,GeneomeLength,CrossoverRate,MutationRate,TrainingFraction
2,97.22,60.00,100,100,64,0.65,0.03,0.85
2,97.22,60.00,100,100,64,0.65,0.03,0.85
2,97.22,60.00,100,100,64,0.65,0.03,0.85
