Generation,Fitness Total,Mean,Best
0,49.85,49.85,72.22
1,56.00,56.00,68.52
2,63.30,63.30,72.22
3,67.19,67.19,75.93
4,69.63,69.63,77.78
5,71.81,71.81,77.78
6,74.22,74.22,79.63
7,74.63,74.63,83.33
8,76.78,76.78,83.33
9,77.22,77.22,81.48
10,77.52,77.52,83.33
11,78.85,78.85,87.04
12,80.56,80.56,90.74
13,83.04,83.04,88.89
14,85.44,85.44,92.59
15,86.81,86.81,92.59
16,86.48,86.48,92.59
17,86.59,86.59,90.74
18,87.37,87.37,94.44
19,88.56,88.56,94.44
20,88.85,88.85,92.59
21,88.41,88.41,92.59
22,89.96,89.96,94.44
23,89.63,89.63,96.30
24,89.93,89.93,96.30
25,89.93,89.93,96.30
26,91.93,91.93,96.30
27,92.22,92.22,96.30
28,91.41,91.41,96.30
29,91.19,91.19,96.30
30,91.11,91.11,96.30
31,91.81,91.81,98.15
32,91.26,91.26,98.15
33,91.15,91.15,96.30
34,91.63,91.63,96.30
35,91.07,91.07,96.30
36,90.89,90.89,96.30
37,90.85,90.85,96.30
38,90.52,90.52,96.30
39,90.85,90.85,96.30
40,91.19,91.19,96.30
41,90.30,90.30,98.15
42,90.37,90.37,98.15
43,90.70,90.70,98.15
44,90.59,90.59,98.15
45,90.78,90.78,98.15
46,92.11,92.11,96.30
47,91.44,91.44,96.30
48,91.89,91.89,100.00
49,91.67,91.67,96.30
